BATCH COMPILATION SUMMARY
================================================================================
Total Time: 4937.5 seconds (82.3 minutes)
Vendors Processed: 353
================================================================================

Vendor               Compiled   Failed     Time       Status
sinetica             1          0          1.7        ✓
skyhigh              2          0          3.3        ✓
smartoptics          7          0          17.8       ✓
snr                  1          0          2.8        ✓
snrerd               0          1          1.1        ✗
socomec              1          0          2.1        ✓
solidoptics          1          0          1.5        ✓
sonicwall            2          1          3.9        ✗
sophos               0          1          1.2        ✗
spectracom           0          5          8.1        ✗
stormshield          12         0          23.8       ✓
sub10                0          0          0.4        ✓
supermicro           3          0          5.4        ✓
synology             3          0          3.0        ✓
synso                0          1          0.9        ✗
tachyon              1          0          1.8        ✓
tait                 6          0          11.6       ✓
tegile               1          0          1.2        ✓
telco-systems        5          0          11.5       ✓
teldat               2          0          5.4        ✓
teleste              2          0          4.4        ✓
teltonika            2          1          2.5        ✗
teracom              5          0          3.3        ✓
terra                4          0          5.0        ✓
toshiba              1          0          1.2        ✓
tplink               14         2          22.0       ✗
transition           58         8          122.9      ✗
tredess              1          0          1.6        ✓
trellix              5          2          6.5        ✗
tycon                2          0          1.5        ✓
ubiquoss             16         37         44.4       ✗
ubnt                 4          3          5.4        ✗
ucopia               1          0          0.9        ✓
uhp                  1          0          0.9        ✓
unitrends            1          0          0.9        ✓
veeam                1          0          1.3        ✓
venturi              5          1          7.7        ✗
vertiv               1          0          1.3        ✓
vigintos             1          0          2.1        ✓
viprinet             1          0          0.9        ✓
viptela              16         0          13.9       ✓
vmware               21         2          29.0       ✗
volius               4          0          3.0        ✓
vsolution            0          1          2.1        ✗
vutlan               1          0          1.0        ✓
watchguard           10         1          10.9       ✗
waystream            5          0          5.4        ✓
westermo             3          0          9.8        ✓
westmountainradio    1          0          1.3        ✓
wis                  1          0          1.8        ✓
wisi                 3          0          5.8        ✓
witchos              0          1          0.9        ✗
worldcastsystems     1          0          1.4        ✓
wti                  3          0          2.2        ✓
wut                  4          2          5.2        ✗
xirrus_aos           1          0          1.5        ✓
zebra                2          0          2.3        ✓
zhone                2          0          4.2        ✓
zmtel                0          1          0.8        ✗
zte                  5          0          5.7        ✓
zyxel                12         8          23.6       ✗
--------------------------------------------------------------------------------
TOTAL                2829       848

Output directory: C:\Users\speterman\PycharmProjects\lnmpcomp\compiled_mibs

Batch report saved: compiled_mibs\batch_compilation_report.json

